Titles,Keywords,Abstract
Dermatology: How to manage acne vulgaris,"Acne, Antibiotics, Benzoyl peroxide, Comedones, Erythematous papules, Oral contraceptives, Pustules, Retinoids, Spironolactone","Acne vulgaris is the most common skin disease that can lead to disfigurement and psychological distress. This article aims to provide a narrative updated review on the management of acne vulgaris. Methods: A PubMed search was performed with Clinical Queries using the key term ""acne"". The search strategy included clinical trials, meta-analyses, randomized controlled trials, observational studies and reviews. The search was restricted to articles published in English. Results: Treatments of acne include proper skin care, topical medications, oral medications and procedural therapies. Topical agents are the first-line treatment for mild-to-moderate acne and can be used as combination therapy for more severe acne. Systemic therapies are usually prescribed for the initial treatment of moderate-to-severe acne as well as for acne that is refractory to topical therapies. Conclusion: Topical retinoids are the drugs of choice for the treatment and maintenance therapy of patients with mild-to-moderate acne vulgaris. Depending on the severity of the acne, topical retinoids may be used alone or in combination with benzoyl peroxide and topical or oral antibiotics. Oral antibiotics are an important therapy for inflammatory acne unresponsive to topical therapy. Neither topical nor oral antibiotics should be used as monotherapy. Oral contraceptives and/or spironolactone are useful for many women with acne. Oral isotretinoin is the drug of choice for severe, extensive, nodular acne vulgaris but is also often used in moderate cases where scarring is evident, acne-related psychosocial distress is significant or other treatment modalities have failed. © 2020 Bioexcel Publishing LTD. All rights reserved."
Topical herbal therapies an alternative and complementary choice to combat acne,"Acne, Formulation, Herbs; Therapy, Topical","Acne vulgaris is the most common cutaneous chronic inflammatory disorder of multifactorial origin with prevalence in adolescents. Acne is common among 95 and 83% of teenage boys and girls, respectively and affects 85, 8 and 3% of people aged between 12-25, 25-34 and 35-44 years, respectively. Numbers of topical and systematic therapies using synthetic ingredients are available since so long to cure acne. Due to risk and side effects associated with previously used therapies, internal and external herbal remedies are considered to be effective and safe alternative treatment for acne. Furthermore, scientific analysis of herbs reveals that they possess enormous therapeutic capabilities that modern medicine is searching for. With the multitude of treatment options and the rapidly expanding newer technologies available to researcher's, scientist, industrialist, cosmeticians and dermatologist, it is important to review and be aware of the current literature and studies regarding herbs and their actives role in the management of acne. This review emphasizes on the astounding effect of herbs in the topical treatment of acne with scientific datas. Inclusion of discussed various herbal extracts, gels and oils, in future developments of dermato-cosmetic herbal formulations could provide complementary and alternative therapy for acne to consumers. © 2011 Academic Journals."
"Years lived with disability (YLDs) for 1160 sequelae of 289 diseases and 
injuries 1990-2010: A systematic analysis for the Global Burden of Disease Study 2010","Adolescent,  Adult, Age Factors, Aged, Aged, 80 and over, Child, Child, Preschool, Female, Health Status, Humans, Incidence, Infant, Infant, Newborn, Male, Middle Aged, Prevalence, Quality-Adjusted Life Years, Sex Factors, World Health, Wounds and Injuries, Young Adult","Non-fatal health outcomes from diseases and injuries are a crucial consideration in the promotion and monitoring of individual and population health. The Global Burden of Disease (GBD) studies done in 1990 and 2000 have been the only studies to quantify non-fatal health outcomes across an exhaustive set of disorders at the global and regional level. Neither eff ort quantified uncertainty in prevalence or years lived with disability (YLDs). Methods: Of the 291 diseases and injuries in the GBD cause list, 289 cause disability. For 1160 sequelae of the 289 diseases and injuries, we undertook a systematic analysis of prevalence, incidence, remission, duration, and excess mortality. Sources included published studies, case notification, population-based cancer registries, other disease registries, antenatal clinic serosurveillance, hospital discharge data, ambulatory care data, household surveys, other surveys, and cohort studies. For most sequelae, we used a Bayesian meta-regression method, DisMod-MR, designed to address key limitations in descriptive epidemiological data, including missing data, inconsistency, and large methodological variation between data sources. For some disorders, we used natural history models, geospatial models, back-calculation models (models calculating incidence from population mortality rates and case fatality), or registration completeness models (models adjusting for incomplete registration with health-system access and other covariates). Disability weights for 220 unique health states were used to capture the severity of health loss. YLDs by cause at age, sex, country, and year levels were adjusted for comorbidity with simulation methods. We included uncertainty estimates at all stages of the analysis. Findings: Global prevalence for all ages combined in 2010 across the 1160 sequelae ranged from fewer than one case per 1 million people to 350 000 cases per 1 million people. Prevalence and severity of health loss were weakly correlated (correlation coefficient -0·37). In 2010, there were 777 million YLDs from all causes, up from 583 million in 1990. The main contributors to global YLDs were mental and behavioural disorders, musculoskeletal disorders, and diabetes or endocrine diseases. The leading specific causes of YLDs were much the same in 2010 as they were in 1990: low back pain, major depressive disorder, iron-deficiency anaemia, neck pain, chronic obstructive pulmonary disease, anxiety disorders, migraine, diabetes, and falls. Age-specific prevalence of YLDs increased with age in all regions and has decreased slightly from 1990 to 2010. Regional patterns of the leading causes of YLDs were more similar compared with years of life lost due to premature mortality. Neglected tropical diseases, HIV/AIDS, tuberculosis, malaria, and anaemia were important causes of YLDs in sub-Saharan Africa. Interpretation: Rates of YLDs per 100 000 people have remained largely constant over time but rise steadily with age. Population growth and ageing have increased YLD numbers and crude rates over the past two decades. Prevalences of the most common causes of YLDs, such as mental and behavioural disorders and musculoskeletal disorders, have not decreased. Health systems will need to address the needs of the rising numbers of individuals with a range of disorders that largely cause disability but not mortality. Quantification of the burden of non-fatal health outcomes will be crucial to understand how well health systems are responding to these challenges. Eff ective and aff ordable strategies to deal with this rising burden are an urgent priority for health systems in most parts of the world."
"Medicinal plants for the treatment of acne vulgaris: A review of recent
 evidences","Acne vulgaris, Herbal medicines, Infectious disease, Medicinal plants, Skin diseases","Acne vulgaris affects about 85% of teenagers and may continue to adulthood. There are about two million visits to physicians per year for teenagers and the direct cost of acne treatment in the US exceeds $1 billion per year. Evidence Acquisition: A wide variety of treatment regimens exist for acne vulgaris including benzoil peroxide, retinoids, isotretinoids, keratolytic soaps, alpha hydroxy acids, azelaic acid, salicilic acid as well as hormonal, anti-androgen or antiseborrheic treatments. However, none of these methods is free of side effects and their exact role in therapy is not clear. In this paper apart from presenting the possible causes of acne vulgaris and its available drugs, recently published papers about medicinal plants used in the treatment of acne vulgaris were reviewed. Results: Consumption of alternative and complementary medicine, including medicinal plants, is increasing and is common amongst patients affected by acne and infectious skin diseases. Medicinal plants have a long history of use and have been shown to possess low side effects. These plants are a reliable source for preparation of new drugs. Conclusions: Many plants seem to have inhibitory effects on the growth of bacteria, fungi and viruses in vitro. However, there are a few clinical evidences about the effectiveness and safety of these plants in the treatment of acne and other skin infections. © 2015, Ahvaz Jundishapur University of Medical Sciences."
"The burden of skin diseases: 2004. A joint project of the American Academy
 of Dermatology Association and the Society for Investigative Dermatology","Cost of Illness, Databases, Factual, Health Care Costs, Humans, Sickness Impact Profile, Skin Diseases","Skin disease is one of the top 15 groups of medical conditions for which prevalence and health care spending increased the most between 1987 and 2000, with approximately 1 of 3 people in the United States with a skin disease at any given time. Even so, a national data profile on skin disease has not been conducted since the late 1970s. This study closes the gap by estimating the prevalence, economic burden, and impact on quality of life for 22 leading categories of skin disease. The estimated annual cost of skin disease in 2004 was $39.3 billion, including $29.1 billion in direct medical costs (costs of health services and products) and $10.2 billion in lost productivity costs (defined as costs related to consumption of medical care, costs associated with impaired ability to work, and lost future earning potential because of premature death). Based on a methodology of willingness to pay for symptom relief, the additional economic burden of skin disease on quality of life amounted to an estimated $56.2 billion. Including the economic burden on quality of life, the total economic burden of skin disease to the US public in 2004 was approximately $96 billion. © 2006 American Academy of Dermatology, Inc."
Treatment modalities for acne,"Acne treatment, Acne vulgaris, Natural, Physical therapies, Systemic, Topical","Acne is a common inflammatory skin disease which affects the pilosebaceous units of the skin. It can have severe psychological effects and can leave the patient with severe skin scarring. There are four well-recognized pathological factors responsible for acne which is also the target for acne therapy. In this review, different treatment options are discussed, including topical (i.e., retinoids, and antibiotics) and systemic (i.e., retinoids, antibiotics, and hormonal) treatments. Since the general public has been showing an increasing interest in more natural and generally safer treatment options, the use of complementary and alternative medicines (CAM) for treating acne was also discussed. The use of physical therapies such as comedone extraction, cryoslush therapy, cryotherapy, electrocauterization, intralesional corticosteroids and optical treatments are also mentioned. Acne has been extensively researched with regards to the disease mechanism as well as treatment options. However, due to the increasing resistance of Propionibacterium acnes towards the available antibiotics, there is a need for new treatment methods. Additionally, the lack of necessary evidence on the efficacy of CAM therapies makes it necessary for researchers to investigate these treatment options further. © 2016 by the authors; licensee MDPI."
Herbal medicine for acne vulgaris,"Achillea, acne vulgaris, antibacterial activity, basil, berberis, vulgaris, clinical trial, comedo, Commiphora, coptis chinensis, Curcuma longa, disease severity, drug withdrawal, Eucalyptus globulus, Eucalyptus maculata, Eucalyptus viminalis, Glycyrrhiza glabra, herb, human, Hydrastis, Magnoliaceae ","Natural treatments for acne vulgaris, a common condition in industrialized societies, 
have much to offer although clinical studies are lacking. Several studies have shown that low stomach acid is a common finding in patients who have acne. This suggests that the traditional use of bitter herbs, which act by stimulating digestive function, including acid secretion, may be useful and important for correcting acne vulgaris. Herbs with antimicrobial, inflammation-modulating, anticomedogenic, and, in certain cases, hormone-balancing actions are also useful for treating acne. (See Table 1.) Acne vulgaris remains a common condition in industrialized societies, with many mainstream treatment options available. All these treatments carry risks, and none is completely satisfactory. Natural alternatives are gaining greater research support and have much to offer clinically. Antibiotic resistance in Propionibacterium acnes and Staphylococcus epidermidis has been rising steadily since the 1980s. In one analysis covering 10 years in the United Kingdom, carrying resistant bacteria were noted in more than 50 percent of patients who had acne and who were treated with antibiotics, with most patients carrying multiple different resistant strains on different parts of their bodies. Similar trends have been reported in many other industrialized nations. Despite some efforts by drug manufacturers to inform consumers, the incidence of women exposed to oral tretinoin, a known teratogen, during pregnancy has been increasing, possibly the result of direct-to-consumer drug advertising. These and other concerns, including cost, underscore the need for safer, effective, more-inexpensive approaches, including those offered by herbal medicine. This article focuses primarily on herbal treatments for acne. Few botanical medicines have been evaluated systematically in clinical trials, and there is virtually no research on the common approach of natural-medicine practitioners for acne-recommending multiple lifestyle changes along with multiple natural products. Nonetheless, biologic plausibility has been demonstrated for many therapies in isolation."
"Antibiotic resistance in acne: changes, consequences and concerns","Acne Vulgaris, Anti-Bacterial Agents, Clindamycin, Drug Resistance, Bacterial, Drug Resistance, Microbial, Humans, Microbial Sensitivity Tests, Propionibacterium acnes","Antibiotic resistance in acne was first observed in the 1970s and has been a major 
concern in dermatology since the 1980s. The resistance rates and types of antimicrobials have subsequently shown great variations in regions and countries. Illustrative of this is the resistance to topical erythromycin and clindamycin which continues to be a problem worldwide, while resistance to systemic treatment with tetracyclines has remained low during the past decade. The resistance for the newer macrolides like azithromycin and clarithromycin has been increasing. The results of antibiotic resistance may include treatment failure of acne, disturbance of skin microbiota, induction of opportunistic pathogens locally and systemically, and dissemination of resistant strains to both healthcare personnel and the general population. The ensuing complications, such as aggravated opportunistic infections caused by Propionibacterium acnes and the emergence of multiresistant superbugs, have not yet been confirmed. © 2020 European Academy of Dermatology and Venereology"
"Comparative study of antimicrobial activities of Aloe vera extracts and 
antibiotics against isolates from skin infections","Aloe vera, Antibiotics, Antimicrobial, Karachi, Skin infections","Plants are of relevance to dermatology for both their beneficial and adverse effects
 on skin and skin disorders. One of the medicinal plants, Aloe vera (Aloe barbadensis Miller), is reputed to have medicinal properties. For centuries, it has been used for an array of ailments such as mild fever, wounds and burns, gastrointestinal disorders, diabetes, sexual vitality and fertility problems to cancer, immune modulation, AIDS and various skin diseases. In this study, antibacterial activity of leaf and gel extracts of A. vera were tested against gram positive and gram negative skin infections isolates. For this purpose, one hundred and fifteen bacterial strains were isolated from skin wounds, burns and acne patients from various hospitals of Karachi, a cosmopolitan and heavily populated city of Pakistan, and the strains were identified by conventional methods. Among the total iso ates, 90% of the organisms were gram positive while the remaining 10% were gram negative. The gel extracts of A. vera showed antibacterial activity against both gram positive and gram negative isolates while the leaf extracts showed no such activity. In parallel, five standard antibiotics were also tested against the isolated strains. The data showed promising results in case of A. vera compared to five broad-spectrum antibiotics. Additionally, the study also demonstrated that the skin infectious isolates were resistant against broad-spectrum antibiotics.© 2011 Academic Journals."
Clinical trials of ayurvedic formulations in the treatment of acne vulgaris,"Acne vulgaris, Ayurvedic formulations, Clinical trials","Oral and externally used dermatological preparation for acne vulgaris employing
 herbal extracts have been developed and standardized, the herbal extracts used here were of the plants described in ayurvedic treatise like Bhavprakasha Nighantu and Charak Samhita. The efficacy of the treatment using the oral formulation with or without external preparation has been assessed through conduct of Phase II clinical trials in 53 patients for 4 weeks in a randomized, double-blind, placebo-controlled fashion and following Good Clinical Practices guidelines. The results were statistically analyzed and indicated that combination of use of internal and external preparation showed better efficacy as compared to the use of oral formulation alone. © 2001 Elsevier Science Ireland Ltd. All rights reserved."
"Clinical trial of Unani herbomineral cream to evaluate its topical effects 
on Acne vulgaris","Acne vulgaris, Unani herbomineral cream, Unani medicine","A controlled, randomized single blind clinical trial was conducted as per GCP 
guidelines for the duration of 2 months on the human individuals suffering from acne vulgaris. The patients were divided into 2 groups, control group treated topically with only cream base and the test group treated topically with the UHC. The effects of the Unani herbomineral cream (UHC) were scientifically evaluated in human beings in acne vulgaris. The assessment of the severity of acne vulgaris in the control and test groups was made by the Investigators Global Acne Severity Score. The statistical analysis of the results of severity of acne vulgaris in the control and test groups was made for the total duration of treatment. Group comparisons (within and inter group) were made using ANOVA and paired t- test respectively. The effect of only cream base did not show any significant improvement in the acne vulgaris of the patients of control group. On the other hand, the within group and inter group comparisons in the test group showed significant differences at each stage of the treatment. The test drug, UHC has been proved effective in the treatment of acne vulgaris in the test group in comparison to the control group."
"Anti-Propionibacterium acnes and the anti-inflammatory 
effect of Aloe ferox miller components","Acne, Aloe ferox, Anti-inflammatory, Propionibacterium acnes","Acne is a chronic skin disease caused by inflammation 
led by Propionibacterium acnes (P. acnes) in the pilosebaceous unit. This study investigated whether plant Aloe ferox (AF) components may have anti-P. acnes and anti-inflammatory properties that may serve for acne treatment. Extracts of Aloe ferox (500 g) were prepared by extracting with 4 L volumes of distilled water (AFW), 50% ethanol (AF50), or 95% ethanol (AF95). AF95 was further fractionated with 2 L volumes of ethyl acetate (AF95E), butanol (AF95B) or water (AF95W). The antibiotic potency against P. acnes was determined by the paper disc diffusion method along with measuring minimal inhibitory concentration and minimal bactericidal concentrations. The anti-inflammatory effect of Aloe ferox was determined by measuring TNF-α IL-1β IL-6, and IL-8 levels in THP-1 cells co-cultured with P. acnes. Proliferation of P. acnes was inhibited by 25 mg/mL AFW, AF50 and AF95; however, AF95 had the highest anti-P. acnes activity. AF95 and all its fractions (AF95E, AF95 B and AF95W) remarkably reduced P. acnes-induced elevated levels of inflammatory cytokines (TNF-α IL-1β IL-6, and IL-8). From these fractions, AF95E had the largest cytokine dampening. In conclusion, extracts of Aloe ferox had anti-P. acnes and anti-inflammatory effects, suggesting that Aloe ferox could be further studied as a potential treatment for acne. © 2017 Elsevier GmbH"
"Cape aloes - A review of the phytochemistry, pharmacology and 
commercialisation of Aloe ferox","Aloe ferox, Biological activity, Cape aloe, Ethnobotany, Phytochemistry","Aloe ferox Mill. (= A. candelabrum A. Berger), commonly known as the bitter 
aloe or Cape aloe, is a polymorphic species indigenous to South Africa. The plant has been used since ancient times as a generic chemopreventive and anti-tumour remedy in folk medicine and it has a well-documented history of use as a laxative. In addition to the plethora of traditional medicinal uses, A. ferox has recently gained popularity as an ingredient in cosmetic formulations and food supplements. Anti-oxidant, antimicrobial, anti-inflammatory, anticancer and antimalarial activities, etc. have been reported. In addition, the ability of Cape aloes to enhance the transport of poorly permeable drugs has enjoyed recent research interest. Due to its medicinal and commercial importance it has been a popular research topic for natural product scientists who have isolated several chromones and anthrones from the leaf exudate and finished product (bitters). A summary of the historical and modern day uses, commercialisation, chemical composition and biological properties of this coveted ethnomedicinally and commercially important species is presented. © 2011 Phytochemical Society of Europe. Published by Elsevier B.V. All rights reserved."
Observational study of Arctium lappa in the treatment of acne vulgaris,"Acne vulgaris, Acne-QoL, Arctium lappa, GAGS, Lappa","Arctium lappa (Lappa) is used in traditional Western and Chinese medicine 
for acne. It is mentioned in homeopathic literature for acne, but its effect has not previously been evaluated. Objective: To determine the effectiveness of homeopathic medicine Lappa in treatment of acne vulgaris. Methods: An uncontrolled observational interventional study was conducted on human subjects who fulfilled the inclusion criteria and gave written informed consent. Lappa was prescribed in potencies starting from 6c rising to 1M as required, over a period of 6 months. Objective assessment was change in acne lesion counts supplemented with Global Acne Grading System (GAGS) and subjective assessment by using Acne-Specific Quality of Life questionnaire (Acne-QoL). Results: Out of 34 human subjects, 32 completed the follow-up. Statistical significant results were seen in lesion counts, GAGS and Acne-QoL score (p value <0.001). Conclusion: Lappa has shown positive effects in the treatment of acne especially of inflammatory type. Further controlled, randomized studies with larger sample size are desirable. © 2013 The Faculty of Homeopathy."
"Variations in nutritional profile of honey produced by various species of 
genus Apis","Apis species, Carbohydrates, Fructose, Natural honey; Sucrose","The medicinal attributes of honey appears to overshadow 
its importance as a functional food. Consequently, several literatures are rife with ancient uses of honey as complementary and alternative medicine, with relevance to modern day health care, supported by evidence-based clinical data, with little attention given to honey’s nutritional functions. The moisture contents of honey extracted from University of Veterinary and Animal Sciences, Lahore honey bee farm was 12.19% while that of natural source was 9.03 ± 1.63%. Similarly, ash and protein contents of farmed honey recorded were 0.37% and 5.22%, respectively. Whereas ash and protein contents of natural honey were 1.70 ± 1.98% and 6.10 ± 0.79%. Likewise fat, dietary fiber and carbohydrates contents of farmed source documented were 0.14%, 1.99% and 62.26% respectively. Although fat, dietary fiber and carbohydrates contents of honey taken from natural resource were 0.54 ± 0.28%, 2.76 ± 1.07% and 55.32 ± 2.91% respectively. Glucose and fructose contents of honey taken out from honeybee farm were 27% and 34% but natural source were 22.50 ± 2.12% and 28.50 ± 3.54%. Glucose and fructose contents of honey taken out from honeybee farm were 27% and 34% but natural source were 22.50 ± 2.12% and 28.50 ± 3.54%. Similarly, sucrose and maltose contents of farmed honey were 2.5% and 12% while in natural honey were 1.35 ± 0.49% and 8.00 ± 1.41% respectively. The present study indicates that such as moisture, carbohydrates, sucrose and maltose contents were higher farmed honey as compared to the natural honey. In our recommendation natural honey is better than farmed honey. © 2023, Instituto Internacional de Ecologia. All rights reserved."
"Comparison of physicochemical properties and effects of heating regimes
 on stored Apis mellifera and Apis florea honey","HMF, Honeybee species, Thermo-generation tolerance","Many of the components, which render honey its specific aroma, 
flavor, and biological activity, are unstable over time and thermolabile. This study was aimed to compare the chemical composition, effect of heating as well as the time of heat exposure, and storage period on the quality of honey samples from Apis mellifera (A.m.) and Apis florea (A.f.). Methods of the Association of the Official Analytical Chemists (AOAC) were used in this study. The mean values for both A.m. and A.f. honeys were, respectively: moisture (18.5, 13.7%); glucose (35.2, 36.3%); fructose (33.7, 33.8%); sucrose (7.3, 2.9%); invert sugar (68.9, 70.4%); ash (0.26, 1.1%); acidity (51.8, 98.4 meq/kg); pH (3.6, 4.4) and Hydroxy methyl furfural (HMF) (3.78, 3.17 mg/100 g). Honey from A. florea contained less moisture, have higher acidity and ash contents than A. mellifera honey. Significant alterations (P < 0.05) in glucose, fructose, sucrose, and acidity were noticed after six months. Honeys exposed to heating for 15 and 30 min at 50 and 80 °C have shown increased thermo-generated HMF after 15, 30, and 45 days. HMF reached 16.30 ± 1.1 in A. mellifera and 7.41 ± 1.4 mg/100 g in A. florea honeys that exposed for 30 min at 80 °C. Honey from A. florea showed more heat tolerance to thermo-generation of HMF than honey from A. mellifera. © 2017 The Authors"
"Physical and chemical screening of honey samples available in 
the Saudi market: An important aspect in the authentication process and quality assessment","Adulteration, GC–MS, Honey, HPLC, ICP, Saudi market","Honey is becoming accepted as a reputable and effective therapeutic 
agent by practitioners of conventional medicine and by the general public. It has many biological activities and has been effectively used in the treatment of many diseases, e.g. gastrointestinal diseases, skin diseases, cancer, heart diseases, and neurological degeneration. Honey is an excellent source of energy containing mainly carbohydrates and water, as well as, small amounts of organic acids, vitamins, minerals, flavonoids, and enzymes. As a natural product with a relatively high price, honey has been for a long time a target for adulteration. The authenticity of honey is of great importance from commercial and health aspects. The study of the physical and chemical properties of honey has been increasingly applied as a certification process for the purpose of qualification of honey samples. The current work focusses on studying the authenticity of various types of honey sold in Riyadh market (24 samples). For this purpose, physical properties (pH, hydroxylmethylfurfural HMF, and pollen test) were measured. Besides, sugar composition was evaluated using Fehling test and an HPLC method. Elemental analysis was carried out using inductively coupled plasma (ICP). In addition, the presence of drug additives was assessed by means of GC–MS. The obtained results were compared with the Saudi Arabian standards, Codex Alimentarius Commission (2001), and harmonized methods of the international honey commission. © 2018 The Authors"
Kynurenic acid in honey from arboreal plants: MS and NMR evidence,"Honey, Humans, Kynurenic Acid, Magnetic Resonance Spectroscopy, Phytotherapy","KYNA, a Trp metabolite, shows neuroprotective activity against 
excitotoxic amino acids by antagonizing the NMDA receptor (glycine, glutamate). Here we report the identification of KYNA by a combination of ESI-MS/MS and 1D- and 2D-NMR analyses in honey varieties of arboreal origin. KYNA are absent in single-flower honeys from herbal flowers. These different distribution patterns might possibly involve an indirect plant defence mechanism against fungal pathogens and herbivorous parasites, ever-present on wild trees. The presence of KYNA in honey may explain its pain-relieving effects reported in the literature. The substance, acting in concert with honey flavonoids (COX-2 inhibitors), by antagonizing the NMDA receptor may contribute to the antinociceptive effect of honey. Moreover, kynureninates, owing to their antimicrobial properties, can favour the successful outcome of wounds and burns. © Georg Thieme Verlag KG Stuttgart."
Honey for nutrition and health: A review,"Composition, Glycemic index, Honey, Nutrition","Due to the variation of botanical origin honey differs in 
appearance, sensory perception and composition. The main nutritional and health relevant components are carbohydrates, mainly fructose and glucose but also about 25 different oligosaccharides. Although honey is a high carbohydrate food, its glycemic index varies within a wide range from 32 to 85, depending on the botanical source. It contains small amounts of proteins, enzymes, amino acids, minerals, trace elements, vitamins, aroma compounds and polyphenols. The review covers the composition, the nutritional contribution of its components, its physiological and nutritional effects. It shows that honey has a variety of positive nutritional and health effects, if consumed at higher doses of 50 to 80 g per intake. © 2008 American College of Nutrition."
"Impact of different macronutrient definitions and energy 
conversion factors on energy supply estimations","Energy conversion, Energy supply, Macronutrients definition","The magnitude of differences in energy 
supply using different definitions for carbohydrates and protein as well as different energy conversion factors was investigated. Food supply data for 1999-2001 from FAOSTAT were used for nine countries with different types of diets. Nutrient values were derived from USDA and the British food composition tables for three definitions of carbohydrate (total, available by difference, available as monosaccharide equivalents), three protein definitions (nitrogen (N) × Jones factors, N × 6.25, sum of amino acids), fat, and two dietary fibre definitions (AOAC, non-starch polysaccharide). Then three sets of energy conversion factors were applied (Merrill & Watt, general Atwater with/without energy value for fibre, and gross energy - GE). Using the same nutrient definitions, differences between general and specific Atwater factors accounted for 50-320 kJ/capita/day (10-75 kcal/capita/day) and for 290-1500 kJ/capita/day (70-360 kcal/capita/day) between GE and metabolizable energy supply calculations. Protein definitions have a minor impact on per capita energy supply values. They generate differences of less than 1%, or 4-105 kJ (1-25 kcal), with N × 6.25 values providing the highest values, followed by Jones factors and the sum of amino acids. The largest differences observed in per capita energy supply calculations are due to carbohydrate definitions. Differences of 3.5-8% or 330-780 kJ/capita/day (80-190 kcal/capita/day) are observed between total and available carbohydrates as monosaccharide equivalents within the general Atwater system. Differences in energy supply between total and available carbohydrates could be minimized by applying an energy factor of 8 kJ/g (2 kcal/g) for dietary fibre, resulting in a higher energy supply of 100-250 kJ/capita/day (25-60 kcal/capita/day) or 1-2%. Differences in energy supply are less influenced by the energy factors as such than by the nutrient definition used, especially for carbohydrates. Differences in energy supply of up to 780 kJ/capita/day (160 kcal/capita/day) or 8% may be statistically relevant and might change research results, estimates of the dietary energy supply and consequently the estimation of the prevalence of undernourishment which may affect nutrition program and policies. Global harmonization of macromitrient definitions and energy factors is important to achieve unambiguous and comparable macronutrient and energy values among countries. © 2004 Elsevier Ltd. All rights reserved."
Biochemical and nutritional components of selected honey samples,"Amino acid, Diastase number, Honey, Peroxide activity, Sugar","The purpose of this study was to investigate the relationship of 
biochemical (enzymes) and nutritional components in the selected honey samples from Malaysia. The relationship is important to estimate the quality of honey based on the concentration of these nutritious components. Such a study is limited for honey samples from tropical countries with heavy rainfall throug hout the year.Methodology. A number of six honey samples that commonly consumed by local people were collected for the study. Both the biochemical and nutritional components were analysed by using standard methods from Association of Official Analytical Chemists (AOAC). Individual monosaccharides, disaccharides and 17 amino acids in honey were determined by using liquid chromatographic method.Results. The results showed that the peroxide activity was positively correlated with moisture content (r = 0.8264), but negatively correlated with carbohydrate content (r = 0.7755) in honey. The chromatographic sugar and free amino acid profiles showed that the honey samples could be clustered based on the type and maturity of honey. Proline explained for 64.9% of the total variance in principle component analysis (PCA).Conclusion. The correlation between honey components and honey quality has been established for the selected honey samples based on their biochemical and nutritional concentrations. PCA results revealed that the ratio of sucrose to maltose could be used to measure honey maturity, whereas proline was the marker compound used to distinguish honey either as floral or honeydew. © by Wydawnictwo Uniwersytetu Przyrodniczego w Poznaniu."
"Chromatographic analysis of sugars applied to the 
characterisation of monofloral honey","Authenticity, GC-FID, HPAEC-PAD, Monofloral honey, PCA, Sugar analysis","The control of the floral quality of honey has become a priority 
issue as a result of the number of abuses observed and the relative ease of getting around existing control methods. We conducted chromatographic analyses of honey sugars to determine new criteria for authenticating an origin. The work involved creating databases by analysing a large number of authentic honeys from seven monofloral varieties, followed by statistical processing of the results by a principal components analysis. Differences in composition could thus be demonstrated, such as the presence of trisaccharides in fir honey, that provide an additional tool for authenticating unknow commercial honeys. © Springer-Verlag 2004."
Biological and therapeutic properties of bee pollen: a review,"bee pollen, honey, inflammation, cancer, medicine, therapy","Natural products, including bee products, 
are particularly appreciated by consumers and are used for therapeutic purposes as alternative drugs. However, it is not known whether treatments with bee products are safe and how to minimise the health risks of such products. Among others, bee pollen is a natural honeybee product promoted as a valuable source of nourishing substances and energy. The health-enhancing value of bee pollen is expected due to the wide range of secondary plant metabolites (tocopherol, niacin, thiamine, biotin and folic acid, polyphenols, carotenoid pigments, phytosterols), besides enzymes and co-enzymes, contained in bee pollen. The promising reports on the antioxidant, anti-inflammatory, anticariogenic antibacterial, antifungicidal, hepatoprotective, anti-atherosclerotic, immune enhancing potential require long-term and large cohort clinical studies. The main difficulty in the application of bee pollen in modern phytomedicine is related to the wide species-specific variation in its composition. Therefore, the variations may differently contribute to bee-pollen properties and biological activity and thus in therapeutic effects. In principle, we can unequivocally recommend bee pollen as a valuable dietary supplement. Although the bee-pollen components have potential bioactive and therapeutic properties, extensive research is required before bee pollen can be used in therapy. © 2016 Society of Chemical Industry. © 2016 Society of Chemical Industry."
Classification of monofloral honeys based on their quality control data,"Discriminant analysis, Honey, Physicochemical characteristics, Predictive model, Principal component analysis","Four hundred and sixty-nine samples of fir, cinder heather,
 chestnut, lavender, acacia, rape, and sunflower honey were characterized by their moisture, conductivity, diastase activity, pH, free acidity, color, hydroxymethylfurfural and percentage of fructose, glucose, saccharose, erlose, raffinose, and melezitose. A principal component analysis performed on the corresponding matrix yielded the formation of four clusters. A stepwise discriminant analysis allowed us to obtain 100% of good predictions with only conductivity, pH, free acidity and percentage of fructose, glucose, and raffinose as variables. The simulation performances of the model were estimated from an external testing set. © 2003 Elsevier Ltd. All rights reserved."
